Timestamp_Beijing,HR,GSR
'2026-03-13 15:31:51,129,65
'2026-03-13 15:31:52,130,63
'2026-03-13 15:31:52,130,62
'2026-03-13 15:31:52,131,62
'2026-03-13 15:31:52,131,62
'2026-03-13 15:31:52,131,62
'2026-03-13 15:31:53,131,62
'2026-03-13 15:31:53,136,63
'2026-03-13 15:31:53,136,64
'2026-03-13 15:31:53,136,64
'2026-03-13 15:31:53,136,64
'2026-03-13 15:31:54,136,66
'2026-03-13 15:31:54,120,66
'2026-03-13 15:31:54,120,68
'2026-03-13 15:31:54,120,67
'2026-03-13 15:31:54,120,67
'2026-03-13 15:31:55,120,67
'2026-03-13 15:31:55,110,68
'2026-03-13 15:31:55,110,70
'2026-03-13 15:31:55,110,68
'2026-03-13 15:31:56,110,67
'2026-03-13 15:31:56,110,68
'2026-03-13 15:31:56,100,70
'2026-03-13 15:31:56,100,69
'2026-03-13 15:31:56,100,68
'2026-03-13 15:31:57,100,69
'2026-03-13 15:31:57,92,69
'2026-03-13 15:31:57,92,70
'2026-03-13 15:31:57,92,69
'2026-03-13 15:31:57,92,69
'2026-03-13 15:31:58,92,69
'2026-03-13 15:31:58,84,70
'2026-03-13 15:31:58,84,69
'2026-03-13 15:31:58,84,70
'2026-03-13 15:31:58,84,69
'2026-03-13 15:31:59,80,68
'2026-03-13 15:31:59,80,68
'2026-03-13 15:31:59,80,68
'2026-03-13 15:31:59,80,69
'2026-03-13 15:31:59,75,68
'2026-03-13 15:32:00,75,69
'2026-03-13 15:32:00,75,69
'2026-03-13 15:32:00,75,68
'2026-03-13 15:32:00,75,69
'2026-03-13 15:32:00,72,70
'2026-03-13 15:32:01,72,70
'2026-03-13 15:32:01,72,69
'2026-03-13 15:32:01,72,69
'2026-03-13 15:32:01,67,70
'2026-03-13 15:32:01,67,70
'2026-03-13 15:32:02,67,70
'2026-03-13 15:32:02,67,69
'2026-03-13 15:32:02,65,71
'2026-03-13 15:32:02,65,72
'2026-03-13 15:32:03,65,71
'2026-03-13 15:32:03,65,70
'2026-03-13 15:32:03,66,70
'2026-03-13 15:32:03,66,72
'2026-03-13 15:32:03,66,71
'2026-03-13 15:32:04,66,71
'2026-03-13 15:32:04,66,71
'2026-03-13 15:32:04,67,72
'2026-03-13 15:32:04,67,71
'2026-03-13 15:32:04,67,70
'2026-03-13 15:32:05,67,71
'2026-03-13 15:32:05,67,72
'2026-03-13 15:32:05,67,69
'2026-03-13 15:32:05,67,68
'2026-03-13 15:32:05,70,66
'2026-03-13 15:32:06,70,64
'2026-03-13 15:32:06,75,61
'2026-03-13 15:32:06,75,59
'2026-03-13 15:32:06,75,58
'2026-03-13 15:32:06,76,59
'2026-03-13 15:32:07,76,59
'2026-03-13 15:32:07,76,60
'2026-03-13 15:32:07,78,60
'2026-03-13 15:32:07,78,61
'2026-03-13 15:32:07,84,61
'2026-03-13 15:32:08,84,60
'2026-03-13 15:32:08,84,61
'2026-03-13 15:32:08,84,61
'2026-03-13 15:32:08,86,62
'2026-03-13 15:32:08,86,62
'2026-03-13 15:32:09,86,63
'2026-03-13 15:32:09,86,62
'2026-03-13 15:32:09,86,64
'2026-03-13 15:32:09,86,65
'2026-03-13 15:32:09,86,64
'2026-03-13 15:32:10,86,64
'2026-03-13 15:32:10,87,65
'2026-03-13 15:32:10,87,65
'2026-03-13 15:32:10,87,64
'2026-03-13 15:32:11,87,62
'2026-03-13 15:32:11,87,61
'2026-03-13 15:32:11,87,60
'2026-03-13 15:32:11,87,57
'2026-03-13 15:32:11,87,55
